"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","David Ayala","POR","2025","CM","51","-0.01","0.00","0.15","-0.02","-0.02","-0.01","0.08"
"","Cristhian Paredes","POR","2025","CM","30","-0.01","0.03","0.11","-0.03","-0.01","-0.01","0.07"
"","Ian Smith","POR","2025","CB","30","0.00","0.00","0.00","0.00","-0.01","-0.00","0.00"
"","Jimer Fory","POR","2025","FB","102","0.01","0.01","-0.05","0.01","-0.00","0.02","-0.01"
"","Eric Miller","POR","2025","FB","65","-0.01","0.00","-0.02","0.02","-0.02","-0.01","-0.03"
"","Ariel Lassiter","POR","2025","W","10","-0.00","-0.00","-0.01","-0.02","-0.00","-0.01","-0.03"
"","Kamal Miller","POR","2025","CB","11","-0.00","-0.04","-0.00","0.01","-0.00","-0.00","-0.04"
"","Felipe Mora","POR","2025","ST","37","-0.01","0.00","-0.01","0.02","-0.07","-0.03","-0.09"
"","David Pereira Da Costa","POR","2025","W","51","-0.02","-0.00","-0.01","-0.03","-0.05","-0.01","-0.12"
"","Diego Chara","POR","2025","CM","102","-0.00","-0.04","0.03","-0.08","-0.03","-0.03","-0.14"
"","Finn Surman","POR","2025","CB","72","0.01","0.01","-0.12","-0.02","-0.02","-0.01","-0.15"
"","Antony","POR","2025","W","92","-0.07","-0.01","0.02","-0.04","-0.08","-0.00","-0.17"
"","Julio Ortíz","POR","2025","W","72","-0.05","-0.01","-0.04","-0.04","-0.06","-0.01","-0.21"
"","Kevin Kelsy","POR","2025","ST","102","-0.03","-0.01","-0.04","0.02","-0.13","-0.02","-0.22"
"","Zac McGraw","POR","2025","CB","102","-0.02","0.01","-0.24","-0.07","-0.02","-0.01","-0.35"