"","Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","Pts","xPts"
"","VAN","2025","8","129","62","17","6","11","17.20","6.86","10.35","0.65","19","16.64"
"","CLB","2025","8","97","65","11","6","5","11.03","8.67","2.35","2.65","18","12.89"
"","CLT","2025","8","78","132","12","7","5","10.55","14.46","-3.90","8.90","16","8.85"
"","CIN","2025","8","107","105","10","8","2","12.42","11.89","0.52","1.48","16","11.53"
"","MIA","2025","7","80","83","12","6","6","11.67","8.61","3.06","2.94","15","11.68"
"","MIN","2025","8","109","103","11","6","5","15.42","10.15","5.27","-0.27","15","14.78"
"","SD","2025","8","109","85","15","9","6","14.50","13.44","1.06","4.94","14","12.60"
"","COL","2025","8","89","124","11","10","1","13.06","15.45","-2.40","3.40","14","9.47"
"","POR","2025","8","84","110","11","10","1","9.03","13.37","-4.34","5.34","14","8.79"
"","PHI","2025","8","128","78","13","9","4","15.30","9.95","5.35","-1.35","13","15.16"
"","NSH","2025","8","124","86","12","8","4","17.94","11.26","6.68","-2.68","13","14.89"
"","ATX","2025","8","96","106","6","8","-2","9.35","10.81","-1.46","-0.54","13","11.00"
"","ORL","2025","8","116","103","15","12","3","14.29","11.27","3.01","-0.01","12","13.25"
"","CHI","2025","8","92","98","14","11","3","14.37","13.95","0.41","2.59","12","11.59"
"","NYRB","2025","8","88","92","9","7","2","11.68","12.10","-0.41","2.41","12","10.83"
"","LAFC","2025","8","85","100","10","11","-1","9.90","9.94","-0.04","-0.96","12","10.84"
"","NYC","2025","8","96","114","11","9","2","11.31","13.00","-1.69","3.69","11","9.87"
"","FCD","2025","8","80","99","10","11","-1","11.67","11.47","0.20","-1.20","11","10.83"
"","SJE","2025","8","137","124","16","12","4","16.94","14.98","1.95","2.05","10","12.27"
"","SEA","2025","8","127","76","9","9","0","10.93","8.45","2.48","-2.48","9","12.26"
"","ATL","2025","8","106","86","9","13","-4","13.47","11.61","1.85","-5.85","9","12.49"
"","RSL","2025","8","101","114","7","13","-6","11.47","16.84","-5.37","-0.63","9","8.85"
"","STL","2025","8","90","104","5","6","-1","9.89","10.47","-0.59","-0.41","8","10.35"
"","NER","2025","7","70","100","3","7","-4","6.33","11.78","-5.45","1.45","7","5.70"
"","HOU","2025","8","75","81","6","12","-6","8.24","8.80","-0.56","-5.44","6","10.40"
"","DCU","2025","8","103","100","9","18","-9","13.09","14.45","-1.36","-7.64","6","10.73"
"","TOR","2025","8","65","95","7","13","-6","6.48","11.62","-5.14","-0.86","4","6.91"
"","SKC","2025","8","82","86","9","15","-6","9.28","11.32","-2.04","-3.96","4","9.38"
"","LAG","2025","8","83","100","6","15","-9","7.34","13.95","-6.61","-2.39","3","6.10"
"","MTL","2025","8","83","98","4","13","-9","8.94","12.13","-3.18","-5.82","2","8.63"